Year,Month,Harbor name,Ship count,Weight
2011,11,진해,15,"155,343"
2011,11,통영,14,"12,922"
2011,11,고현,6,"18,580"
2011,11,하동,14,"690,412"
2011,11,울산,679,"13,760,672"
2011,11,제주,6,"94,621"
2011,11,서귀포,0,0
2011,11,기타,0,0
2011,12,부산,"1,701","39,076,304"
2011,12,인천,595,"11,259,167"
2011,12,평택.당진,386,"10,106,881"
2011,12,경인항,0,0
2011,12,동해.묵호,108,"1,233,140"
2011,12,삼척,7,"12,652"
2011,12,속초,7,"2,429"
2011,12,옥계,9,"154,419"
2011,12,호산,0,0
2011,12,대산,168,"3,358,224"
2011,12,보령,9,"569,144"
2011,12,태안,11,"545,684"
2011,12,군산,123,"2,719,582"
2011,12,장항,7,"16,682"
2011,12,목포,76,"1,650,054"
2011,12,완도,0,0
2011,12,여수,153,"4,923,709"
2011,12,광양,717,"21,463,920"
2011,12,포항,250,"3,709,818"
2011,12,마산,137,"1,979,178"
2011,12,삼천포,15,"465,629"
2011,12,옥포,7,"85,307"
2011,12,장승포,0,0
2011,12,진해,13,"266,461"
2011,12,통영,19,"13,267"
2011,12,고현,4,"30,918"
2011,12,하동,13,"724,533"
2011,12,울산,714,"14,222,537"
2011,12,제주,5,"91,833"
2011,12,서귀포,0,0
2011,12,기타,0,0
2012,1,부산,"1,646","39,253,968"
2012,1,인천,595,"11,617,613"
2012,1,평택.당진,375,"10,574,097"
2012,1,경인항,0,0
2012,1,동해.묵호,108,"1,390,595"
2012,1,삼척,11,"18,259"
2012,1,속초,5,"2,493"
2012,1,옥계,9,"137,947"
2012,1,호산,0,0
2012,1,대산,175,"3,844,045"
2012,1,보령,10,"585,667"
2012,1,태안,11,"642,004"
2012,1,군산,124,"2,871,526"
2012,1,장항,2,"8,895"
2012,1,목포,67,"1,853,009"
2012,1,완도,0,0
2012,1,여수,158,"4,342,648"
2012,1,광양,690,"19,712,541"
2012,1,포항,238,"2,939,078"
2012,1,마산,132,"2,140,278"
2012,1,삼천포,17,"762,812"
2012,1,옥포,4,"87,049"
2012,1,장승포,0,0
2012,1,진해,8,"92,815"
2012,1,통영,15,"11,724"
2012,1,고현,5,"8,864"
2012,1,하동,12,"682,503"
2012,1,울산,723,"14,769,743"
2012,1,제주,8,"58,621"
2012,1,서귀포,0,0
