,Year,Month,Harbor name,Ship count,Weight
570,2011,06,고현,7,"20,701"
571,2011,06,하동,9,"514,621"
572,2011,06,울산,699,"12,862,114"
573,2011,06,제주,23,"452,407"
574,2011,06,서귀포,0,0
575,2011,06,기타,0,0
576,2011,07,항만명,"5,068","113,566,774"
577,2011,07,부산,"1,659","39,225,003"
578,2011,07,인천,572,"10,183,249"
579,2011,07,평택.당진,364,"9,157,849"
580,2011,07,경인항,0,0
581,2011,07,동해.묵호,84,"1,087,376"
582,2011,07,삼척,10,"17,189"
583,2011,07,속초,3,776
584,2011,07,옥계,5,"98,749"
585,2011,07,호산,0,0
586,2011,07,대산,172,"3,423,414"
587,2011,07,보령,8,"408,532"
588,2011,07,태안,11,"535,051"
589,2011,07,군산,107,"2,574,936"
590,2011,07,장항,4,"7,648"
591,2011,07,목포,67,"1,495,507"
592,2011,07,완도,1,991
593,2011,07,여수,96,"3,283,086"
594,2011,07,광양,695,"19,778,974"
595,2011,07,포항,241,"3,448,070"
596,2011,07,마산,152,"2,542,540"
597,2011,07,삼천포,12,"556,783"
598,2011,07,옥포,9,"34,456"
599,2011,07,장승포,0,0
600,2011,07,진해,12,"86,828"
601,2011,07,통영,25,"16,907"
602,2011,07,고현,7,"39,546"
603,2011,07,하동,12,"717,033"
604,2011,07,울산,710,"14,187,006"
605,2011,07,제주,30,"659,275"
606,2011,07,서귀포,0,0
607,2011,07,기타,0,0
608,2011,08,항만명,"4,975","108,439,123"
609,2011,08,부산,"1,686","38,355,237"
610,2011,08,인천,570,"9,591,085"
611,2011,08,평택.당진,373,"8,734,079"
612,2011,08,경인항,0,0
613,2011,08,동해.묵호,94,"1,260,851"
614,2011,08,삼척,11,"18,772"
615,2011,08,속초,2,833
616,2011,08,옥계,8,"227,771"
617,2011,08,호산,0,0
618,2011,08,대산,161,"3,463,020"
619,2011,08,보령,10,"532,994"
620,2011,08,태안,14,"702,020"
621,2011,08,군산,102,"2,447,363"
622,2011,08,장항,6,"15,767"
623,2011,08,목포,72,"1,460,919"
624,2011,08,완도,1,"1,238"
625,2011,08,여수,104,"2,754,511"
626,2011,08,광양,648,"19,239,373"
627,2011,08,포항,214,"3,321,363"
628,2011,08,마산,132,"1,999,454"
629,2011,08,삼천포,10,"586,314"
630,2011,08,옥포,5,"21,054"
631,2011,08,장승포,0,0
632,2011,08,진해,17,"106,481"
633,2011,08,통영,22,"11,848"
634,2011,08,고현,2,"3,871"
635,2011,08,하동,13,"707,210"
636,2011,08,울산,678,"12,403,123"
637,2011,08,제주,20,"472,572"
638,2011,08,서귀포,0,0
639,2011,08,기타,0,0
640,2011,09,항만명,"4,760","106,023,970"
641,2011,09,부산,"1,628","38,271,259"
642,2011,09,인천,545,"10,087,913"
643,2011,09,평택.당진,346,"8,540,459"
644,2011,09,경인항,0,0
645,2011,09,동해.묵호,85,"1,191,453"
646,2011,09,삼척,7,"11,725"
647,2011,09,속초,1,649
648,2011,09,옥계,9,"245,627"
649,2011,09,호산,0,0
650,2011,09,대산,143,"3,152,349"
651,2011,09,보령,11,"553,108"
652,2011,09,태안,14,"578,366"
653,2011,09,군산,100,"2,390,746"
654,2011,09,장항,5,"13,881"
655,2011,09,목포,71,"1,654,055"
656,2011,09,완도,2,"1,634"
657,2011,09,여수,114,"3,655,715"
658,2011,09,광양,623,"16,910,460"
659,2011,09,포항,225,"2,711,489"
660,2011,09,마산,121,"2,091,763"
661,2011,09,삼천포,12,"656,707"
662,2011,09,옥포,9,"46,814"
663,2011,09,장승포,0,0
664,2011,09,진해,11,"51,982"
665,2011,09,통영,20,"10,539"
666,2011,09,고현,7,"37,173"
667,2011,09,하동,10,"523,270"
668,2011,09,울산,621,"12,082,305"
669,2011,09,제주,20,"552,529"
670,2011,09,서귀포,0,0
671,2011,09,기타,0,0
672,2011,10,항만명,"5,208","113,670,931"
673,2011,10,부산,"1,689","38,541,630"
674,2011,10,인천,575,"10,137,707"
675,2011,10,평택.당진,402,"9,915,841"
676,2011,10,경인항,0,0
677,2011,10,동해.묵호,99,"1,240,250"
678,2011,10,삼척,9,"15,691"
679,2011,10,속초,8,"1,452"
680,2011,10,옥계,8,"215,501"
681,2011,10,호산,0,0
682,2011,10,대산,146,"3,216,299"
683,2011,10,보령,11,"610,788"
684,2011,10,태안,12,"566,588"
685,2011,10,군산,117,"2,829,617"
686,2011,10,장항,6,"16,332"
687,2011,10,목포,77,"1,712,360"
688,2011,10,완도,2,"2,089"
689,2011,10,여수,126,"3,703,481"
690,2011,10,광양,679,"19,420,367"
691,2011,10,포항,256,"3,021,179"
692,2011,10,마산,143,"2,170,797"
693,2011,10,삼천포,13,"530,211"
694,2011,10,옥포,10,"26,002"
695,2011,10,장승포,0,0
696,2011,10,진해,15,"113,942"
697,2011,10,통영,16,"8,118"
698,2011,10,고현,7,"12,074"
699,2011,10,하동,12,"634,795"
700,2011,10,울산,751,"14,665,675"
701,2011,10,제주,19,"342,145"
702,2011,10,서귀포,0,0
703,2011,10,기타,0,0
704,2011,11,항만명,"5,005","109,121,979"
705,2011,11,부산,"1,657","37,464,354"
706,2011,11,인천,574,"10,134,067"
707,2011,11,평택.당진,397,"8,812,286"
708,2011,11,경인항,0,0
709,2011,11,동해.묵호,99,"1,158,020"
710,2011,11,삼척,6,"10,255"
711,2011,11,속초,7,"1,534"
712,2011,11,옥계,8,"117,562"
